cabang,sku,n_months,qty_mean,qty_std,qty_max,qty_min,total_qty,zero_months,zero_ratio,cv,demand_level,cluster
02A,APQR005K102,41,3.292682926829268,4.99121178892974,24.0,0.0,135.0,19,0.4634146341463415,1.5158495062675508,0,3
02A,APQR005K104,41,3.6341463414634148,5.0732440191704535,22.0,0.0,149.0,18,0.43902439024390244,1.3959933207113329,0,0
02A,APQR005K405,40,3.825,4.4714908888681375,16.0,0.0,153.0,17,0.425,1.169017225847879,0,0
02A,APQR005K503,41,29.317073170731707,20.792353191005397,88.0,0.0,1202.0,2,0.04878048780487805,0.7092233617564236,1,1
02A,APQR005K504,41,10.902439024390244,9.134563147870786,39.0,0.0,447.0,4,0.0975609756097561,0.8378458368293115,1,1
02A,APQR005K602,41,7.048780487804878,7.880200566965905,36.0,0.0,289.0,11,0.2682926829268293,1.1179523295695575,0,0
02A,APQR005K603,41,5.609756097560975,5.7483825933060855,20.0,0.0,230.0,13,0.3170731707317073,1.0247116796763023,0,0
02A,APQR005K801,41,5.073170731707317,5.671817362638007,20.0,0.0,208.0,16,0.3902439024390244,1.118002460904607,0,0
02A,APQR005KBA,41,124.29268292682927,79.1467762775083,374.0,23.0,5096.0,0,0.0,0.6367774386534223,3,1
02A,APQR005KBB,41,119.04878048780488,71.54053089665751,296.0,24.0,4881.0,0,0.0,0.6009345967553694,3,1
02A,APQR005KBC,41,99.4390243902439,67.41700407927061,308.0,20.0,4077.0,0,0.0,0.6779733056782181,3,1
02A,APQR005KSW,41,114.14634146341463,70.46508389820087,324.0,30.0,4680.0,0,0.0,0.6173223162021871,3,1
02A,APQR020KPBA,41,54.68292682926829,28.761466430269376,116.0,17.0,2242.0,0,0.0,0.5259679409638914,2,1
02A,APQR020KPBB,41,34.58536585365854,20.301447743641457,83.0,2.0,1418.0,0,0.0,0.5869953155777854,2,1
02A,APQR020KPBC,41,16.51219512195122,13.840379241949103,78.0,0.0,677.0,1,0.024390243902439025,0.8381913573410831,1,1
02A,APQR020KPSW,41,30.609756097560975,25.134516156851408,122.0,2.0,1255.0,0,0.0,0.8211276194668587,2,1
02A,AQRS001K,41,115.73170731707317,71.79206933577132,364.0,24.0,4745.0,0,0.0,0.6203318952089829,3,1
02A,AQRS005K,41,28.048780487804876,18.259177445208472,79.0,0.0,1150.0,1,0.024390243902439025,0.6509793697856934,1,1
02A,ARST005KBA,41,25.658536585365855,25.564242367120485,125.0,0.0,1052.0,4,0.0975609756097561,0.9963250352204751,1,1
02A,ARST025KPBA,40,12.325,8.428850029542158,35.0,0.0,493.0,1,0.025,0.6838823553381062,1,1
02A,ARST025KPBB,40,2.625,2.6281269531838225,10.0,0.0,105.0,10,0.25,1.0011912202605038,0,0
02A,ARST025KPBC,39,1.358974358974359,2.032462590931445,8.0,0.0,53.0,19,0.48717948717948717,1.495585680119365,0,3
02A,ATUV005K660,41,6.975609756097561,6.501875901914958,24.0,0.0,286.0,9,0.21951219512195122,0.9320871048199765,0,0
02A,ATUV005K661,41,9.414634146341463,7.648449547967542,36.0,0.0,386.0,9,0.21951219512195122,0.8124000815198685,0,0
02A,ATUV005K663,41,10.658536585365853,9.28334464537852,36.0,0.0,437.0,8,0.1951219512195122,0.870977415241463,1,0
02A,ATUV005K681,41,9.560975609756097,8.215986795534073,32.0,0.0,392.0,9,0.21951219512195122,0.8593251495329005,0,0
02A,ATUV005K683,40,2.05,3.396453655785316,11.0,0.0,82.0,28,0.7,1.656806661358691,0,3
02A,ATUV005K685,41,5.365853658536586,5.228556672548246,19.0,0.0,220.0,14,0.34146341463414637,0.9744128344294457,0,0
02A,ATUV005K686,41,15.317073170731707,9.918263518354019,39.0,0.0,628.0,3,0.07317073170731707,0.6475299430772529,1,1
02A,ATUV005K690,41,15.902439024390244,10.319411024978075,40.0,0.0,652.0,3,0.07317073170731707,0.6489200184418729,1,1
02A,ATUV005K691,41,12.75609756097561,8.80846322523083,39.0,0.0,523.0,3,0.07317073170731707,0.6905296218632199,1,1
02A,ATUV005K694,39,4.0,3.9202577788496997,12.0,0.0,156.0,13,0.3333333333333333,0.9800644447124249,0,0
02A,ATUV005KSW,41,130.02439024390245,98.6162988062516,674.0,58.0,5331.0,0,0.0,0.7584446165928186,3,1
02A,ATUV020KP663,39,0.9230769230769231,1.4213524949778495,5.0,0.0,36.0,25,0.6410256410256411,1.5397985362260036,0,3
02A,ATUV020KPSW,41,43.24390243902439,35.42723563009459,184.0,6.0,1773.0,0,0.0,0.8192423354957012,2,1
02A,AVWX004KRP,41,144.4390243902439,81.43004629142973,404.0,14.0,5922.0,0,0.0,0.5637676288329313,3,1
02A,AVWX021KPRP,41,46.73170731707317,25.688542572754006,110.0,7.0,1916.0,0,0.0,0.5497026333418132,2,1
02A,AXYZ001K,41,16.70731707317073,49.13208926070568,316.0,0.0,685.0,12,0.2926829268292683,2.9407527878670554,1,3
02A,AYZA100C,41,452.1951219512195,202.2354097966272,1020.0,168.0,18540.0,0,0.0,0.4472304100141163,3,1
02A,BBCD001K675,41,2.6097560975609757,3.5133890247202046,15.0,0.0,107.0,22,0.5365853658536586,1.346251869285312,0,3
02A,BBCD001K680,41,18.5609756097561,12.655134887641074,54.0,0.0,761.0,1,0.024390243902439025,0.6818141003853929,1,1
02A,BBCD001K700,41,16.146341463414632,13.67764777951559,65.0,0.0,662.0,3,0.07317073170731707,0.8471050739579142,1,1
02A,BBCD001K710,41,7.219512195121951,10.218884956593726,48.0,0.0,296.0,16,0.3902439024390244,1.415453659528185,0,0
02A,BBCD001K735,41,17.121951219512194,14.668324924733602,56.0,0.0,702.0,5,0.12195121951219512,0.8566970397636434,1,1
